Term, Frequency

frets, 1
friction, 2

fried, 6









frost, 3
frown, 1
froze, 2
frozen, 36


frustrate, 2
frustrated, 20

frustrating, 2

frustration, 12
frustrations, 1
fuck, 12
fucking, 6
fudge, 2

full-blown, 1





funky, 3
funnily, 1
funny, 18
furious, 5
furiously, 2
furor, 2


fussy, 1


futile, 1


fuzzy, 2





gall, 2





garbage, 1
garish, 1







get-rich, 1










gimmicks, 1

glare, 1

glib, 1

glitch, 1
glitches, 6

gloom, 1
gloomy, 5


glut, 24




goof, 1
goofy, 2

gossip, 1






grating, 2
gravely, 2

greed, 5
greedy, 7
grief, 2
grievance, 3





grim, 2

grind, 2

gripes, 2


gross, 35
grossly, 1




grouse, 1




grudgingly, 2










guilt, 2

guilty, 6



hack, 1

haggard, 1
haggle, 4





hamper, 4
hampered, 2
handicapped, 2
hang, 33
hangs, 5



harass, 5


harassment, 2

harbors, 1
hard, 229
hard-hit, 2
hard-line, 1



hardened, 1




hardship, 2
hardships, 1
harm, 13
harmed, 1
harmful, 4



harried, 1

harsh, 8


hassle, 6

hassles, 6
haste, 5

hasty, 1
hate, 28
hated, 1





hates, 2




haunt, 3
haunting, 1
havoc, 2
hawkish, 1

hazard, 1
hazardous, 5
haze, 1



headaches, 3



heartless, 1

heavy-handed, 1

heck, 8



hectic, 3
hedge, 120


hefty, 16


hegemony, 1

hell, 10




helplessly, 1




hesitant, 5




high-priced, 4

hinder, 3



hissing, 1

hoard, 2



hollow, 2




hopelessly, 1




horrible, 6



horrifies, 1



hostage, 3
hostile, 8









humid, 1

humiliating, 4


hung, 5
hurt, 62


hurting, 5
hurts, 8

hype, 2

hypocrisy, 1












idiotic, 1

idiots, 1
idle, 5




ignorance, 3
ignorant, 1
ignore, 27




ill-fated, 1










illegal, 43
illegally, 11





illogical, 1





imbalance, 34
imbecile, 1
imbroglio, 4








immoral, 2



impair, 3
impaired, 1
impasse, 3

impatient, 3



impede, 6

impending, 6





imperialist, 1




impersonal, 1





impious, 1
implacable, 1



implication, 1

impolite, 3




impose, 66

imposing, 31
imposition, 2
impossible, 21

impossibly, 2









imprisonment, 1


improbably, 1
improper, 2
improperly, 18
impropriety, 2











inability, 13
inaccuracies, 1

inaccurate, 4
inaccurately, 3
inaction, 19
inactive, 4
inadequacy, 1
inadequate, 13







inappropriate, 21




inattentive, 1

incapable, 3




incessant, 1

incite, 1












incompatible, 1



incomplete, 4














inconsistencies, 4
inconsistency, 3
inconsistent, 18



inconvenience, 4

incorrect, 10
incorrectly, 2


incredulous, 1





indecision, 3









indifferent, 33

















ineffective, 3

ineffectiveness, 1
ineffectual, 1





inefficient, 9



ineligible, 8









inequities, 1



inevitable, 7
inevitably, 3
inexcusable, 1











infamous, 3


infected, 3
infection, 3

inferior, 2











inflammatory, 3

inflated, 13

inflexible, 4
inflict, 1
infraction, 1
infringe, 1
infringement, 7


infuriated, 2


















injurious, 1
injury, 4







insane, 6

insanity, 1
insatiable, 1
insecure, 3








insignificant, 2











insolvent, 1

instability, 7










insufficient, 10
insufficiently, 2

insult, 7


insultingly, 1



insurmountable, 1




intense, 16
interfere, 10
interference, 9
interferes, 2
intermittent, 9
interrupt, 5
interruption, 8
interruptions, 11











intrude, 2

intrusive, 5

inundated, 1

invalid, 2
invalidate, 2

invasive, 2





invisible, 1

involuntary, 15

irate, 1










ironic, 5



irony, 1

irrational, 1

irrationality, 1










irregular, 2


irrelevant, 2
irreparable, 2




irresponsible, 4







irritate, 2

irritating, 2
irritation, 1

isolate, 2
isolated, 8

issue, 652
issues, 555
itch, 1





jam, 6
jarring, 1

jealous, 1







jeopardize, 3
jeopardy, 2

jerky, 1

jitters, 1


jobless, 2
joke, 9

jolt, 2




junk, 14





kill, 18
killed, 12
killer, 1
killing, 22

kills, 1


knock, 2



lack, 96

lacked, 5


lacking, 4

lacks, 4

lag, 9
lagged, 3
lagging, 9

lags, 4


lambaste, 1
lame, 1




languid, 1




lanky, 2


lapses, 5

last-ditch, 2






lawless, 2

layoff, 9



leakage, 1


leaks, 3







leery, 7


lengthy, 16

lesser-known, 1







liability, 93
liable, 28





lie, 8


lies, 32


limit, 97
limitation, 20
limitations, 18
limited, 319
limits, 93
limp, 3

litigious, 1
little-known, 1


loath, 2





lone, 15

lonely, 2


long-time, 1

longing, 1

loophole, 4

loose, 17


lose, 71
loser, 5
losers, 5
loses, 3
losing, 33
loss, 148
losses, 75
lost, 135
loud, 4
louder, 1
lousy, 2




ludicrous, 4
ludicrously, 1

lukewarm, 3





lure, 3


lurking, 2
lying, 6
macabre, 1
mad, 12
madden, 1





madness, 10


























manipulate, 8
manipulation, 57


mar, 62
marginal, 77
marginally, 5


mashed, 8






meager, 1
meaningless, 1

measly, 2







meltdown, 8








mess, 25
messed, 3
messes, 1

messy, 5

















miscalculation, 1
miscellaneous, 8
mischief, 1
mischievous, 1


misconceptions, 5




miserable, 2

miserably, 2









misguided, 5



misinformed, 1
misinterpret, 1



misleading, 9





mispronounces, 1
misread, 1
misreading, 1

misrepresentation, 2
miss, 91
missed, 47



mistake, 36
mistaken, 1
mistakenly, 2
mistakes, 11

mistress, 1





misunderstanding, 1

misunderstood, 2
misuse, 5


mock, 4










monster, 4


monstrous, 1

moody, 24
moot, 1










mortified, 2



motley, 45





muddy, 3




mundane, 3




murky, 1



mysterious, 1
mysteriously, 1
mystery, 9

myth, 5







nasty, 9
naughty, 2







needless, 7

needy, 2




negative, 113


neglect, 1
neglected, 5
negligence, 2
negligent, 1


nervous, 2
nervously, 1
nervousness, 1






nightmare, 4




noise, 11
noises, 3

noisy, 1





notoriety, 2
notorious, 7


nuisance, 1


object, 25
objection, 18
objectionable, 5
objections, 16




obnoxious, 1

obscene, 2


obscure, 1







obsolete, 4
obstacle, 5


obstruct, 2










odd, 6











offensive, 2





omission, 4
omit, 1
one-sided, 3
onerous, 3


opinionated, 4
opponent, 3

oppose, 36
opposition, 73














outcry, 2

outmoded, 1
outrage, 1
outraged, 2
outrageous, 9



outsider, 1




over-priced, 1











overdue, 10



overloaded, 2

overpaid, 2



overpriced, 3


overrun, 1

oversight, 67










overtaxed, 1


overturn, 6


overwhelmed, 5
overwhelming, 7
overwhelmingly, 3




pain, 20
painful, 6

painfully, 3
pains, 3



pan, 7




panic, 2







paralyzed, 1

paranoid, 1




partisan, 4
partisans, 1

passive, 3





pauper, 1

payback, 6
peculiar, 4
peculiarly, 1






penalize, 7
penalty, 41


perfunctory, 8
peril, 5

perilously, 2








pertinacious, 2


perturb, 2

pervasive, 3
perverse, 2






pessimism, 2
pessimistic, 1

pest, 4




petty, 3








pig, 5
pigs, 1



pinch, 2







pity, 6
plagiarize, 2
plague, 1


plea, 6
pleas, 2

plight, 5
plot, 1

ploy, 3





poisonous, 1










poor, 108
poorer, 3
poorest, 2
poorly, 4
posturing, 2


powerless, 1



precarious, 7

precipitate, 7
precipitous, 1
predatory, 2
predicament, 4

prejudice, 3









pretend, 5




pricey, 5







prison, 16

problem, 300
problematic, 7
problems, 242
procrastinate, 1



profanity, 1
prohibit, 7
prohibitive, 2



proprietary, 52
prosecute, 4
protest, 55
protested, 4
protesting, 1
protests, 22
protracted, 3
provocation, 1
provocative, 1
provoke, 1
pry, 3



punch, 5
punish, 7
punishable, 3
punitive, 6

puny, 1


puzzled, 4

puzzling, 2


qualms, 2
quandary, 1
quarrel, 1






questionable, 9





racist, 1


radical, 7

radically, 4

rage, 2
ragged, 2

rail, 2
raked, 3

rampant, 3

rancor, 1
randomly, 1

rant, 1

ranting, 2







rash, 6







rebuff, 1
rebuke, 3


recession, 21

reckless, 1




redundancy, 1
redundant, 4
refusal, 16
refuse, 11
refused, 65
refuses, 6
refusing, 31

refute, 5



regress, 2


regret, 4


regretfully, 1
regrets, 3



reject, 32
rejected, 48
rejecting, 5
rejection, 4
rejects, 4

relentless, 1


reluctance, 8
reluctant, 21
reluctantly, 4


































resent, 2


resignation, 10
resigned, 8
resistance, 12


restrict, 9
restricted, 29
restriction, 6
restrictive, 2

retaliate, 1
retaliatory, 1

retarded, 3


reticent, 2

retreat, 8
retreated, 4
revenge, 1


revert, 16


revoke, 6
revolt, 2





rhetoric, 8


ridicule, 1

ridiculous, 7
ridiculously, 1

rift, 1
rifts, 2
rigid, 5



riled, 2
rip, 2


ripped, 2
risk, 388
risks, 63
risky, 5
rival, 17

roadblocks, 2
rocky, 16
rogue, 2


rotten, 3
rough, 23


rude, 1
rue, 3


ruin, 6



ruins, 1

rumor, 22
rumors, 21
rumours, 3


runaway, 9

rust, 3

rusty, 5

ruthless, 1




sack, 8
sacrificed, 1
sad, 6

sadly, 1



sagging, 2




sap, 35

sarcastic, 1






savage, 3




scam, 1









scant, 1
scapegoat, 1
scar, 1
scarce, 8
scarcely, 1
scarcity, 13
scare, 5
scared, 11
scarier, 1




scary, 1






scolded, 3










scramble, 9
scrambled, 6
scrambles, 4
scrambling, 14
scrap, 17
scratch, 1
scratched, 1
scratches, 1




screwed, 6

screwy, 1










seething, 1







self-serving, 1









seriousness, 5


set-up, 50
setback, 16
setbacks, 3
sever, 12
severe, 44
severity, 6

shabby, 1


shake, 10
shaky, 6
shallow, 2
sham, 2

shame, 5




shamelessly, 1

shark, 4
sharply, 32
shatter, 1






shit, 15

shock, 7
shocked, 3



short-lived, 1
shortage, 69


shortcomings, 3



showdown, 1









shunned, 3
sick, 19







siege, 2

silly, 8
simplistic, 2




sinister, 1

sink, 5
sinking, 1


skeptical, 9

skepticism, 12






slack, 1
slander, 2



slanders, 1
slap, 1
slashing, 3
slaughter, 6

slave, 4
slaves, 1

slime, 1


slogging, 3






sloppy, 1


slow, 49

slowed, 16
slower, 26
slowest, 3
slowly, 22



slug, 1
sluggish, 3
slump, 6
slumping, 4


slut, 2


smack, 1



smell, 1





smoke, 5
















snag, 1
snagged, 1

snags, 2





sneak, 4














sober, 4

solemn, 1


sore, 3
sorely, 1

sorrow, 1


sorry, 181
sour, 17

spade, 2
spank, 1

spew, 4

spewing, 2
spews, 1
spilling, 5


spite, 7




split, 49
splitting, 6



spoiled, 4


spook, 1







sporadic, 2
spotty, 3
spurious, 1



squabbling, 2
squander, 1

sque
