Term, Frequency
improbable, 1

improper, 23
improperly, 1


imprudent, 6









inability, 11




inaction, 4
inactive, 4

inadequate, 5







inappropriate, 6
inappropriately, 1





incapable, 1









inclement, 3










incompetence, 2
incompetent, 2

incomplete, 3



inconceivable, 1










inconsistencies, 4
inconsistency, 2
inconsistent, 15



inconvenience, 12

incorrect, 10
incorrectly, 4

















indifference, 1

















indulge, 2
ineffective, 3

ineffectiveness, 1





inefficiency, 1
inefficient, 9

















inevitable, 8
inevitably, 4
inexcusable, 1




inexperienced, 2






infamous, 2


infected, 1
infection, 2





infested, 1









inflated, 6
inflationary, 2

inflict, 1


infringement, 1








inhibit, 1













injury, 6
injustice, 1


inoperable, 2



insane, 1






insensitive, 1




insignificance, 2
insignificant, 4











insolvent, 2

instability, 3



instigators, 1





insufficiency, 1
insufficient, 18
insufficiently, 1


insulted, 4










intense, 5
interfere, 4
interference, 3

intermittent, 1
interrupt, 1
interruption, 5
interruptions, 2




intolerable, 1








intrusive, 3
inundate, 1
inundated, 4

invalid, 1








invisible, 1

involuntary, 58



ire, 1

irked, 2






ironic, 1
ironical, 2


irony, 4

irrational, 1












irregular, 1


irrelevant, 2
irreparable, 3




irresponsible, 7
irresponsibly, 3


irreversible, 1




irritated, 3

irritation, 1

isolate, 2
isolated, 1

issue, 565
issues, 558






jam, 2






jeer, 2
jeering, 1

jeers, 1
jeopardize, 14
jeopardy, 4



jitters, 1



joke, 11

jolt, 1




junk, 5





kill, 27
killed, 20
killer, 2
killing, 11

kills, 2


knock, 20



lack, 90

lacked, 5
lackey, 2

lacking, 4

lacks, 9

lag, 11
lagged, 2
lagging, 2


laid-off, 1



lame-duck, 1
lament, 2








lapse, 3





laughable, 1




lawless, 1

layoff, 8

lazy, 3
leak, 2


leaking, 3







leer, 3


lemon, 1
lengthy, 14



lethal, 1





liability, 82
liable, 20





lie, 5
lied, 1

lies, 15

lifeless, 2
limit, 105
limitation, 34
limitations, 23
limited, 218
limits, 26


litigious, 1









lone, 15

lonely, 2



long-winded, 1



loopholes, 2
loose, 8


lose, 69
loser, 2
losers, 5
loses, 6
losing, 31
loss, 92
losses, 51
lost, 113
loud, 6

lousy, 2





ludicrously, 1

lukewarm, 3





lure, 6



lying, 11

mad, 14
madden, 1

maddeningly, 1


madman, 1
madness, 3



malaise, 1


















mania, 1



manipulate, 33
manipulation, 37


mar, 456
marginal, 31
marginally, 3










meaningless, 4









meltdown, 2








mess, 23



messy, 1


militancy, 2












misbehavior, 1



mischief, 1



misconceptions, 3
















misguided, 2








misleading, 5


mismanage, 1







miss, 64
missed, 61
misses, 3


mistake, 26
mistaken, 1
mistakenly, 11
mistakes, 10


mistrust, 1




misunderstanding, 2

misunderstood, 4
misuse, 2
moan, 4

mock, 4










monster, 5




moody, 14
moot, 3













motionless, 2
motley, 1





muddy, 3




mundane, 3
murder, 2



murky, 2



mysterious, 2

mystery, 4

myth, 6

nagging, 9
naive, 1
naively, 1
narrower, 1


nasty, 7













negate, 1

negative, 70
negatives, 2

neglect, 1
neglected, 6


nemesis, 1

nervous, 13
nervously, 1
nervousness, 1

nettlesome, 1




nightmare, 1




noise, 14


noisy, 4



nonsense, 1


notorious, 2
notoriously, 1




object, 15
objection, 13

objections, 9






obscene, 2


obscure, 5
obscured, 1
obscures, 2






obstacle, 5













odd, 11




oddly, 1




offending, 1
offenses, 1
offensive, 9



ominous, 5




onerous, 3



opponent, 3
opportunistic, 2
oppose, 41
opposition, 62
oppositions, 3







orphan, 2

outbreak, 1



outcry, 2


outrage, 4
outraged, 5
outrageous, 1








over-priced, 1











overdue, 7








overpower, 1
overpriced, 3


overrun, 1
overshadow, 1
oversight, 41



oversimplify, 1






overtaxed, 1


overturn, 12


overwhelmed, 2
overwhelming, 3
overwhelmingly, 1




pain, 8
painful, 6

painfully, 1

pale, 2

paltry, 1
pan, 22




panic, 1

panicked, 2










parody, 1

partisan, 5


passive, 8




paucity, 2


payback, 3








penalize, 3
penalty, 29
perfidious, 1


peril, 1


perish, 1











perturbed, 1
pervasive, 3
perverse, 4






pessimism, 1


pest, 6




petty, 1


phony, 1





pig, 2
pigs, 3



pinch, 1


pitiful, 2



pittance, 1
pity, 4

plague, 1


plea, 5
pleas, 5

plight, 1
plot, 15

ploy, 1




poison, 3






pollute, 1




poor, 47
poorer, 2
poorest, 2
poorly, 4







precarious, 9

precipitate, 1

predatory, 3

















pricey, 2
pricier, 1
prick, 2




primitive, 2


problem, 257
problematic, 6
problems, 279




profanity, 1
prohibit, 26

prohibitively, 2


proprietary, 25

protest, 22
protested, 8

protests, 5
protracted, 3

provocative, 1
provoke, 3
pry, 1



punch, 2
punish, 5
punishable, 2
punitive, 5
punk, 6



puzzled, 1

puzzling, 1











questionable, 11



rabid, 3




radical, 4



rage, 1

raging, 1
rail, 7
raked, 2

rampant, 3

rancor, 1
randomly, 2

rant, 1









rash, 4
rattle, 1






rebuff, 1



recession, 8



recklessness, 3


redundancy, 1
redundant, 3
refusal, 11
refuse, 17
refused, 43
refuses, 3
refusing, 16
refutation, 2
refute, 3


refuting, 1

regression, 1

regret, 9



regrets, 3
regrettable, 1


reject, 26
rejected, 35
rejecting, 11
rejection, 6
rejects, 10
relapse, 1



reluctance, 4
reluctant, 11
reluctantly, 1























repudiation, 2










resent, 2


resignation, 23
resigned, 8
resistance, 10


restrict, 11
restricted, 34
restriction, 9
restrictive, 5

retaliate, 1

retard, 1


retards, 1


retreat, 6
retreated, 1



revert, 8


revoke, 3
revolt, 2





rhetoric, 2




ridiculous, 4

rife, 1
rift, 1

rigid, 3



riled, 1
rip, 3


ripped, 2
risk, 401
risks, 95
risky, 7
rival, 6
rivalry, 1

rocky, 17
rogue, 3


rotten, 1
rough, 29


rude, 4
rue, 4


ruin, 2
ruined, 4


ruins, 2

rumor, 21
rumors, 14



runaway, 4



rusty, 7


ruthlessly, 2
ruthlessness, 1



sacrificed, 1
sad, 6

sadly, 1
sadness, 1


sagging, 2




sap, 43
sarcasm, 1







savage, 8





scams, 2








scant, 2
scapegoat, 1

scarce, 9
scarcely, 1
scarcity, 9
scare, 3
scared, 4





















scourge, 1

scramble, 6
scrambled, 2

scrambling, 8
scrap, 3
scratch, 1



scream, 6

screw-up, 1
screwed, 1











seethe, 2







self-interested, 2







sensationalize, 1


seriousness, 1


set-up, 33
setback, 3
setbacks, 1
sever, 6
severe, 32
severity, 3




shake, 4
shaky, 4

sham, 1

shame, 4
shameful, 1






sharply, 19







shit, 8

shock, 11
shocked, 7




shortage, 67


shortcomings, 6


shortsightedness, 1







shrouded, 1
shrug, 1
shun, 1

sick, 12










simplistic, 6

sin, 2


sinister, 1

sink, 7
sinking, 6


skeptical, 13

skepticism, 5
sketchy, 9

skinny, 2



slack, 2





slap, 9
slashing, 1
slaughter, 6


slaves, 1




slogging, 4









slow, 32

slowed, 3
slower, 4

slowly, 11




sluggish, 6
slump, 1
slumping, 2





smack, 1



smell, 3
smelled, 2




smoke, 3








smudges, 1







snag, 1








sneak, 3

sneaky, 2









so-cal, 4








sorely, 2

sorrow, 3


sorry, 128
sour, 16

spade, 1









spite, 7




split, 30
splitting, 4














sporadic, 1




squabble, 1



squeak, 2

squeaky, 1




stab, 10







stalemate, 2
stall, 2
stalls, 2

stampede, 2
standstill, 2


startle, 1




static, 23
steal, 5
stealing, 1

steep, 2





stern, 9

sticky, 1
stiff, 3


stifling, 1











stolen, 1





strain, 9
strained, 2

strange, 14
strangely, 4





stress, 6
stresses, 2
stressful, 1

stricken, 3
strict, 17
strictly, 95
strident, 1


strike, 66
stringent, 14

struck, 12
struggle, 6
struggled, 12
struggles, 4
struggling, 29


stubbornly, 1

stuck, 12

stumble, 1
stumbled, 1







stupid, 4
stupidest, 2










stymied, 2

subdued, 1
subjected, 1




subordinate, 3
subpoena, 44




subtract, 8

subversive, 1



suck, 9
sucked, 2

sucks, 5

sue, 187
sued, 28

sues, 7
suffer, 21
suffered, 15


suffering, 8
suffers, 3





suicide, 4




sunk, 3







suppress, 6

surrender, 2
susceptible, 3
suspect, 26
suspicion, 3
suspicions, 3
suspicious, 2


swamped, 2




swipe, 1










tangled, 1

tank, 33

tanks, 6
tantrum, 2
tardy, 1

tarnished, 1









taxing, 3


tedious, 2


temper, 3
tempest, 1


tense, 6
tension, 2
tentative, 31
tentatively, 9
tenuous, 2

tepid, 1
terrible, 4

terribly, 5





testy, 1


thankless, 2

thirst, 3
thorny, 2



thrash, 1
threat, 34
threaten, 14
threatening, 11
threats, 10









thwart, 5
time-consuming, 4

timidity, 1
timidly, 2




tired, 10

tiring, 1


toll, 12




torrent, 2
tortuous, 2




torturous, 1




tout, 2
touted, 3
touts, 1
toxic, 1

tragedy, 1
tragic, 1








trap, 1

trapped, 7
trash, 23



traumatic, 1













tricky, 12
trivial, 2

trouble, 41
troubled, 29

troubles, 8
troublesome, 2

troubling, 1



tumbled, 2


turbulent, 2
turmoil, 3
twist, 5
twisted, 3








uglier, 2
ugliest, 1

ugly, 4

ultimatum, 2



unable, 109
unacceptable, 21



unaccustomed, 1





unavailable, 38
unavoidably, 1



unbelievably, 2

uncertain, 12



unclear, 29

uncomfortable, 7





unconfirmed, 1







undecided, 2
undefined, 2


undercut, 5

undercutting, 1



undermine, 6
undermined, 1

undermining, 1



undesirable, 1





undone, 1
undue, 2


uneasiness, 1
uneasy, 1
uneconomical, 2


unethical, 2

uneventful, 6
unexpected, 14
unexpectedly, 3

unfairly, 3
unfaithful, 1

unfamiliar, 1
unfavorable, 1

unfinished, 3

unforeseen, 1

unfortunate, 11
unfortunately, 21

unfriendly, 1






unhappy, 2
unhealthy, 2




unimportant, 2

uninsured, 1



unjust, 17


unjustified, 3



unknown, 33


unlawful, 4
unlawfully, 7



unlikely, 44


unnatural, 1

unnecessary, 11
unneeded, 2








unpleasant, 2

unpopular, 5
unpredictable, 1


unprofitable, 1






unravel, 5



unrealistic, 1
unreasonable, 22
unreasonably, 6



unreliable, 3
unresolved, 6



unsafe, 3


unscrupulous, 1








unsophisticated, 2



unspecified, 2
unstable, 3



unsuccessful, 3
unsuccessfully, 5


unsure, 11
unsuspecting, 1


untested, 1


untimely, 1
untouched, 2







unusual, 18
unusually, 10

unwanted, 2


unwelcome, 1


unwilling, 11

unwillingness, 4


unworkable, 3

unyielding, 1









upset, 6




urgent, 38



utterly, 2

vague, 10





vehemently, 7





venomous, 3

vent, 1



vexing, 2





vibration, 1
vice, 306
vicious, 1





vilify, 1










violate, 5
violation, 12








